"filename", "language", "YAML", "Markdown", "PHP", "JSON", "Properties", "comment", "blank", "total"
"c:\wamp64\www\omika\src\Entity\media\Note.php", "PHP", 0, 0, 43, 0, 0, 0, 15, 58
"c:\wamp64\www\omika\src\Entity\media\Picture.php", "PHP", 0, 0, 66, 0, 0, 0, 22, 88
"c:\wamp64\www\omika\src\Entity\media\Template.php", "PHP", 0, 0, 42, 0, 0, 0, 15, 57
"c:\wamp64\www\omika\src\Entity\order\Order.php", "PHP", 0, 0, 112, 0, 0, 4, 35, 151
"c:\wamp64\www\omika\src\Entity\order\ProductOrder.php", "PHP", 0, 0, 57, 0, 0, 0, 18, 75
"c:\wamp64\www\omika\src\Entity\recipe\Ingredient.php", "PHP", 0, 0, 67, 0, 0, 4, 21, 92
"c:\wamp64\www\omika\src\Entity\recipe\Recipe.php", "PHP", 0, 0, 131, 0, 0, 26, 39, 196
"c:\wamp64\www\omika\src\Entity\recipe\RecipeAdvise.php", "PHP", 0, 0, 54, 0, 0, 0, 20, 74
"c:\wamp64\www\omika\src\Entity\recipe\RecipeStep.php", "PHP", 0, 0, 54, 0, 0, 0, 19, 73
"c:\wamp64\www\omika\src\Entity\recipe\Unit.php", "PHP", 0, 0, 42, 0, 0, 0, 13, 55
"c:\wamp64\www\omika\src\Entity\user\Absence.php", "PHP", 0, 0, 112, 0, 0, 0, 40, 152
"c:\wamp64\www\omika\src\Entity\user\Business.php", "PHP", 0, 0, 66, 0, 0, 13, 19, 98
"c:\wamp64\www\omika\src\Entity\user\Contact.php", "PHP", 0, 0, 182, 0, 0, 7, 56, 245
"c:\wamp64\www\omika\src\Entity\user\User.php", "PHP", 0, 0, 242, 0, 0, 14, 76, 332
"c:\wamp64\www\omika\src\Entity\user\UserLogin.php", "PHP", 0, 0, 87, 0, 0, 29, 30, 146
"c:\wamp64\www\omika\src\EventListener\AuthenticationSuccessListener.php", "PHP", 0, 0, 19, 0, 0, 3, 4, 26
"c:\wamp64\www\omika\src\EventSubscriber\ApiExceptionSubscriber.php", "PHP", 0, 0, 19, 0, 0, 34, 10, 63
"c:\wamp64\www\omika\src\Interface\entity\RecipientInterface.php", "PHP", 0, 0, 7, 0, 0, 0, 3, 10
"c:\wamp64\www\omika\src\Kernel.php", "PHP", 0, 0, 8, 0, 0, 0, 4, 12
"c:\wamp64\www\omika\src\MessageHandler.php\SendMessageHandler.php", "PHP", 0, 0, 34, 0, 0, 1, 7, 42
"c:\wamp64\www\omika\src\Message\SendMessage.php", "PHP", 0, 0, 32, 0, 0, 0, 8, 40
"c:\wamp64\www\omika\src\Repository\Event\EventInfoRepository.php", "PHP", 0, 0, 12, 0, 0, 26, 6, 44
"c:\wamp64\www\omika\src\Repository\Event\EventRecurringRepository.php", "PHP", 0, 0, 12, 0, 0, 26, 6, 44
"c:\wamp64\www\omika\src\Repository\Event\EventRepository.php", "PHP", 0, 0, 19, 0, 0, 27, 6, 52
"c:\wamp64\www\omika\src\Repository\Event\EventSharedInfoRepository.php", "PHP", 0, 0, 12, 0, 0, 26, 6, 44
